service pair,PIP
4725dcf727a848a3856928b38f8f1250 <-> 675f697df08c4108bf0122b07da92c1b,0.0
2e03e4b59f324286af529250ab75a9bf <-> 6d63e0cbaf68444cacb25364fc5427db,0.0
9152cf9f4b0045aaa8dd5aad5f1267d9 <-> 96ff4a4dd2244e4c88c9f4c8ac236ef5,0.0
b043e94421944a7181b97fe224874680 <-> 890fb25c03b44e81adbdae1d635437fb,0.0
615f77405ac842d0a1f32e83826f68b9 <-> 623dc1ca0abc4eb1bb72208fbaf8d504,0.0
49b7cdb9b6934f8d9783883cf51bece2 <-> 416128a7b06d4c569c1b1a1070cb69c8,0.0
ca47653695704b528f85f293f4feea24 <-> 67ee6cf8da674b6585aeadea34061fed,0.0
bab2683448e04ef7b2d7a78196cfeffe <-> 623dc1ca0abc4eb1bb72208fbaf8d504,0.0
0db7eaddcdfe40a7a2e9870e2886bedb <-> 69de05283d0247858fc024b175268a76,0.0
c899e54985934a57a3d3286df5bce7ed <-> efceb6336f0445f4b917084fa2862177,0.0
294bea47eaf94d8d9a89b32ff13509d4 <-> 235a844d83fa4683affbe1d62adf2fbd,0.0
0db7eaddcdfe40a7a2e9870e2886bedb <-> 7bf53713db524184afa8ab585f8242b5,0.0
2e03e4b59f324286af529250ab75a9bf <-> 1fddb1e94a314bc784e7a859415c0dc5,0.0
59134d8247024b8ab35c22b840afb361 <-> 1d2f8f96f5444b79a1276ca140556a61,0.0
be41e0e96c0c40a4a7e664619cf59e1c <-> 3f2e2dbf9ff8436aaaa057443cf14d71,0.0
b2b95b20aa0242e882363816d15b13e8 <-> 623dc1ca0abc4eb1bb72208fbaf8d504,0.0
9a085a1357fa4134a3ab0f0934f81875 <-> 0a32074affa540468f5d1e4c2af3dd9d,0.0
dc5f596b83994473b1c7e0a2549c2ade <-> 3a6b3811bf764f8d91d46841f11d9ed0,0.0
07697cca1811461090a62a5e1b3c9985 <-> 2fa016ea6387442d8f2a2b3913d6edec,0.0
f123eaa3e14741d5ad3bf383ca9a34c3 <-> 1d2f8f96f5444b79a1276ca140556a61,0.0
df2b5bef48e14f868f32f79114c0197d <-> cedc33441ec0432691cb2112f159391e,0.0
8fe5d44140ec43b4a8ba78d0eb27cb68 <-> 96548ca2d4ab48da821982727c6fb65f,0.0
5d3f47fb795047caadc42ab1ad983ca7 <-> ae1ae2b9d0db43209fda755de8c11396,0.0
75a48fd6fc1b4ed0b7cc88fa2193e57d <-> fb88517dfddb427c8aa520c811970276,0.0
ca47653695704b528f85f293f4feea24 <-> 7bf53713db524184afa8ab585f8242b5,0.0
9368cbaaed1d46d69144dc76268f33d4 <-> 574ab0da3f3d4071bbd707b902e02f45,0.0
b599ea5facc54b3491c19d6f52057bbe <-> 4f65bd156b324051b9d01ae5927c36c0,0.0
6ea0038ecf3c4e41808c2a85f38c9c78 <-> 1b203c54747e479e9e91465f82a8943c,0.0
f68b7c128e1748ce88094fc20243ada0 <-> fe6def37a520457cab6ff1a8f5be0627,0.0
5250e0c4eef5483e8374e7dc71044909 <-> 66250ad1953746f08ee3605328d82999,0.0
294bea47eaf94d8d9a89b32ff13509d4 <-> 230abcbfdd894c11b86220d0ef0808f0,0.0
1aaba214c2ef4a67887514b45613a3f9 <-> 802a9802cb494ed5ab3d102af47ee5fe,0.0
b2b95b20aa0242e882363816d15b13e8 <-> d36c92427637495cb4624a9781dc6ea2,0.0
0bf37978d4f949629da167a7b6ae7fff <-> 96548ca2d4ab48da821982727c6fb65f,0.0
813d0da6805a4336866951e2f40884da <-> 335ce475732f410d8b05fc7b73dc6f12,0.0
bf4616de7de944ae9bc9be8efd9009c0 <-> d6c7be7a81a64fafb23cc385a6c3c224,0.0
4694e999538a4c7cae4926c99e784532 <-> e9c40280b6cd49b58b2a0af41de7ee47,0.0
caf05ab7a95b487987f7de7b7ca742ac <-> e808ef733ecf4e47832a42132bc7e537,0.0
e1081a21cc6f4c298b53ba51afb4eeda <-> 8d07717213c64953a432734b8c100a55,0.0
60c1e4e3b09e4aa8b73e34b37ef50f98 <-> f8f917fe770d40a799119757bafc5475,0.0
9ad391e446c1443ba4b8b25a6e8c13d9 <-> c080765d53fa4c61be24f91d9e8918f0,0.0
9a61014200f94a36827ff167d7f413de <-> 99383e3dd45c4282958b6e4d27a00bd0,0.0
316187867f344601a8622333c9f03275 <-> af59c0d0f3a8414e80ec60cf99be4acc,0.0
