interface pair,RWR
f6e0ab6d3bc24e0cacdbb2d8d5e0cbdc <-> 7d9e56b153d94fd9a2df62239f0230fa,0
b33d224fd77a491aaca857aa5f8bb835 <-> 22312228d7bd48a38030279055118514,0
440d455576a246eb84e949f9be101d5f <-> dbf22b3293a743fe93689ab3413ced25,0
e3915aede2f9414f8be63be3b295222d <-> 67616f09e4154630ba5d58d798523f3c,0
76cfcaaf81864ebdbf5ec4bf91c84abf <-> f82b459e584a4584aa330fa5bd4902db,0
16c8a6b6596542a285f40f1f6fe677b4 <-> 682ced4d60cb4dd299bc955fb99d102d,0
dec6808134804150b6c1ea6950119c90 <-> 135a1ecd7db5490ea60a74ff1bafb3c9,0
3b8f6650c1f54abdae458b6c8776868e <-> c0c0fe0d411f45a38ff2657a93b9a36a,0
5c0b6f5a15c94491a4fb28f78a6eb0d2 <-> b579d879dc5841409c65a7f21b63de50,0
58c1c47111304c57a135acb0288ef544 <-> f82b459e584a4584aa330fa5bd4902db,0
51c8f878091242a5863f5b033feb8ef1 <-> 983d36132db84fdba6b3a057133a19fa,0
f1c077d45b4d4872855b3f10c6655e11 <-> b579d879dc5841409c65a7f21b63de50,0
9fde0d66653d443eaba036271d5ea6ec <-> f76e5f68bff14eed9b7755bf51bd18d5,0
ec8ab3b7a12d4726b50e73ab3200b66c <-> fcd270433f374315a17152e8d61a53cd,0
ccce1cba587c461a8f6468130245c97a <-> aa458041cbe649b0aebb4b9a3c4c5172,0
101ff331528d4432bf1f282813a97807 <-> 66763773f93241ddb0abecb9ff1c6378,0
c814ab65f97f4294a16bdc961f1061bb <-> b579d879dc5841409c65a7f21b63de50,0
fb57f9015b2d40f485e7bcc563e90346 <-> 4b80d2e5b23f4222a908e1066acca1fb,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> 4b80d2e5b23f4222a908e1066acca1fb,0
4f86cd7d2a304b559a26f2c6d311eb8d <-> bab8169d277d457ab3536d32db54ec87,0
1723ec723cf84386ac8795a89e94b0d9 <-> b579d879dc5841409c65a7f21b63de50,0
a7c4a0b2567c458b8c2dff2aa8a71019 <-> 3b8f6650c1f54abdae458b6c8776868e,0
714f412fba1f499da52ba9d651224f9f <-> 8f72c1272dbb495f9552b7c329242b3a,0
af509fcee7cc4944a0a8d0062d00215b <-> 053a77228b534bd59843915f38c657ed,0
2bb9c16d76f9479b97905d1845751651 <-> 8f72c1272dbb495f9552b7c329242b3a,0
4965b29df8814af8ae6c7e27ecdb7c86 <-> 10bd1fb345d1446c8b92d4c654056b1b,0
2b4ef167d68e477586e0f6022ae5b600 <-> 81497c462c694814aa6201a1484ace05,0
cb3b315d677346f2b5c9f541d6bca2fb <-> 591bab7ab005427bae7a457708ea945e,0
8a66258a6568410197ea798cdf16b71b <-> 5d9ff1c377e44135831ec397d9785c9e,0
11d4b317ca534ddd89c9215bcd4d6f65 <-> 9d3960e9d42b45829eca64ece36668d7,0
